"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202108~202108)"
"A0011352","강원 강릉시","(주)대성길","강원 강릉시 구정면 칠성로 187","2021년 08월","S-OIL","셀프","0.00","1632.19","1438.71","913.87"
"A0010562","강원 강릉시","(주)동해에너지주유소","강원 강릉시 경강로 2101","2021년 08월","SK에너지","셀프","0.00","1615.00","1415.81","898.06"
"A0032684","강원 강릉시","(주)명진에너지 사천지점","강원 강릉시 사천면 동해대로 3576","2021년 08월","SK에너지","셀프","0.00","1630.00","1430.00","0.00"
"A0011610","강원 강릉시","(주)삼보물류 삼보주유소","강원 강릉시 동해대로 3970","2021년 08월","S-OIL","일반","0.00","1658.00","1458.00","900.00"
"A0011538","강원 강릉시","(주)진명성덕주유소","강원 강릉시 입암로 47 (입암동)","2021년 08월","현대오일뱅크","셀프","0.00","1606.90","1406.90","0.00"
"A0033436","강원 강릉시","CJ대한통운㈜ 강릉주유소","강원 강릉시 동해대로 3292","2021년 08월","S-OIL","셀프","0.00","1626.71","1427.19","0.00"
"A0011342","강원 강릉시","GS교동택지주유소","강원 강릉시 교동하슬라로 233","2021년 08월","GS칼텍스","셀프","1908.00","1714.00","1498.00","891.13"
"A0011554","강원 강릉시","KIS정보통신㈜강릉(강릉방향)주유소","강원 강릉시 성산면 영동고속도로 232-1","2021년 08월","알뜰(ex)","셀프","0.00","1617.39","1404.00","0.00"
"A0011555","강원 강릉시","KIS정보통신㈜강릉(인천방향)주유소","강원 강릉시 영동고속도로 231-1","2021년 08월","알뜰(ex)","셀프","0.00","1617.39","1404.00","0.00"
"A0011572","강원 강릉시","SK에너지(주) 월드컵주유소","강원 강릉시 경강로 2224 (포남동)","2021년 08월","SK에너지","일반","0.00","1657.35","1457.35","0.00"
"A0011570","강원 강릉시","SK에너지(주) 주문진주유소","강원 강릉시 주문진읍 신리천로 95","2021년 08월","SK에너지","일반","0.00","1658.35","1458.35","868.06"
"A0011571","강원 강릉시","SK에너지(주)강릉주유소","강원 강릉시 강릉대로 432 (포남동)","2021년 08월","SK에너지","셀프","0.00","1643.71","1445.77","900.00"
"A0011577","강원 강릉시","SK에너지(주)교동주유소","강원 강릉시 하슬라로 159 (교동)","2021년 08월","SK에너지","셀프","0.00","1641.42","1444.35","0.00"
"A0011607","강원 강릉시","㈜삼보물류 구도일주유소솔향강릉","강원 강릉시 경강로 2225","2021년 08월","S-OIL","일반","0.00","1658.00","1458.00","900.00"
"A0011360","강원 강릉시","감자바우주유소","강원 강릉시 동해대로3305번길 7 (죽헌동)","2021년 08월","현대오일뱅크","일반","0.00","1618.84","1419.13","907.10"
"A0011548","강원 강릉시","강릉농협 성산주유소","강원 강릉시 성산면 구산길 16","2021년 08월","NH-OIL","일반","0.00","1649.35","1449.35","877.74"
"A0011549","강원 강릉시","강릉농협주유소","강원 강릉시 유산로 19 (유산동)","2021년 08월","NH-OIL","일반","0.00","1649.35","1449.35","877.74"
"A0011547","강원 강릉시","강릉원예농협주유소","강원 강릉시 경강로 1932 (홍제동)","2021년 08월","NH-OIL","일반","0.00","1639.03","1439.03","883.87"
"A0011351","강원 강릉시","강릉햇살주유소","강원 강릉시 입암로 12 (입암동)","2021년 08월","S-OIL","셀프","0.00","1599.00","1399.00","0.00"
"A0011353","강원 강릉시","강원주유소","강원 강릉시 동해대로 3433 (대전동)","2021년 08월","S-OIL","셀프","0.00","1630.00","1430.00","0.00"
"A0000160","강원 강릉시","경포주유소","강원 강릉시 안현로 40 (안현동)","2021년 08월","GS칼텍스","일반","1899.00","1679.00","1475.77","908.71"
"A0011388","강원 강릉시","관동주유소","강원 강릉시 성산면 구산길 44","2021년 08월","S-OIL","일반","0.00","1667.03","1467.03","870.97"
"A0011491","강원 강릉시","광명주유소","강원 강릉시 주문진읍 동해대로 4730","2021년 08월","GS칼텍스","일반","0.00","1692.52","1482.52","925.00"
"A0011436","강원 강릉시","구라미주유소","강원 강릉시 사천면 구라미등길 3","2021년 08월","S-OIL","셀프","0.00","1630.00","1430.00","0.00"
"A0010217","강원 강릉시","구정(동해)주유소","강원 강릉시 구정면 동해고속도로 345-1","2021년 08월","알뜰(ex)","셀프","0.00","1607.16","1394.58","0.00"
"A0011581","강원 강릉시","구정(속초방향)주유소","강원 강릉시 구정면 동해고속도로 346","2021년 08월","알뜰(ex)","셀프","0.00","1610.13","1399.13","0.00"
"A0013644","강원 강릉시","굴다리주유소","강원 강릉시 경강로1804번길 8 (홍제동)","2021년 08월","현대오일뱅크","일반","0.00","1666.35","1464.10","0.00"
"A0010532","강원 강릉시","기분좋은주유소","강원 강릉시 경강로 1843 (홍제동)","2021년 08월","GS칼텍스","셀프","0.00","1647.00","1437.00","0.00"
"A0011602","강원 강릉시","남강릉주유소","강원 강릉시 동해대로 2336","2021년 08월","S-OIL","셀프","0.00","1623.48","1418.00","880.00"
"A0011804","강원 강릉시","남산주유소","강원 강릉시 남부로 136 (노암동)","2021년 08월","GS칼텍스","셀프","1872.29","1613.00","1413.00","870.00"
"A0011525","강원 강릉시","뉴신일주유소","강원 강릉시 경강로 1889 (홍제동)","2021년 08월","SK에너지","셀프","1859.48","1617.84","1417.84","0.00"
"A0011415","강원 강릉시","대동강주유소","강원 강릉시 남부로 67 (내곡동)","2021년 08월","SK에너지","일반","0.00","1613.00","1413.00","870.00"
"A0011455","강원 강릉시","대영주유소","강원 강릉시 가작로 308 (포남동)","2021년 08월","S-OIL","셀프","0.00","1720.00","1520.00","896.13"
"A0011347","강원 강릉시","동국주유소","강원 강릉시 남구길 31","2021년 08월","현대오일뱅크","일반","0.00","1658.00","1458.00","900.00"
"A0011408","강원 강릉시","명진에너지북강릉지점","강원 강릉시 연곡면 동해대로 4091","2021년 08월","SK에너지","셀프","0.00","1620.00","1420.00","0.00"
"A0011343","강원 강릉시","무지개주유소","강원 강릉시 강동면 율곡로 2170","2021년 08월","GS칼텍스","일반","0.00","1685.00","1485.00","900.00"
"A0011540","강원 강릉시","백두에너지(주) 오정주유소","강원 강릉시 경강로 2344","2021년 08월","S-OIL","셀프","0.00","1619.45","1420.90","880.00"
"A0011495","강원 강릉시","백두에너지(주)옥천동지점","강원 강릉시 옥가로 37 (옥천동)","2021년 08월","자가상표","일반","0.00","1731.77","1529.61","900.00"
"A0010581","강원 강릉시","범일로self주유소","강원 강릉시 범일로 475 (내곡동)","2021년 08월","SK에너지","셀프","0.00","1610.00","1410.00","897.00"
"A0011611","강원 강릉시","북강릉IC주유소","강원 강릉시 사천면 동해대로 3937","2021년 08월","현대오일뱅크","셀프","0.00","1637.00","1437.00","0.00"
"A0011553","강원 강릉시","북강릉농협주유소","강원 강릉시 주문진읍 신영길 43","2021년 08월","NH-OIL","일반","0.00","1640.00","1440.00","900.00"
"A0011416","강원 강릉시","북강릉주유소","강원 강릉시 연곡면 동해대로 4069","2021년 08월","GS칼텍스","일반","0.00","1665.06","1465.06","900.00"
"A0011379","강원 강릉시","사임당주유소","강원 강릉시 사임당로 31 (홍제동)","2021년 08월","현대오일뱅크","일반","0.00","1662.42","1453.87","890.00"
"A0032685","강원 강릉시","사천농협클린주유소","강원 강릉시 사천면 동해대로 3739","2021년 08월","NH-OIL","일반","0.00","1638.00","1437.00","900.00"
"A0011593","강원 강릉시","사천주유소","강원 강릉시 사천면 동해대로 3662","2021년 08월","GS칼텍스","셀프","0.00","1630.00","1430.00","0.00"
"A0010539","강원 강릉시","삼거리주유소","강원 강릉시 임영로 242 (교동)","2021년 08월","SK에너지","셀프","0.00","1618.32","1418.42","876.45"
"A0011368","강원 강릉시","세일주유소","강원 강릉시 연곡면 남평길 3","2021년 08월","S-OIL","셀프","0.00","1645.00","1445.65","0.00"
"A0011349","강원 강릉시","소금강주유소","강원 강릉시 연곡면 삼산리 진고개로1515","2021년 08월","자가상표","일반","0.00","1695.00","1475.00","0.00"
"A0011488","강원 강릉시","솔향주유소","강원 강릉시 공제로437번길 1 (홍제동)","2021년 08월","알뜰주유소","셀프","0.00","1602.42","1393.19","0.00"
"A0011454","강원 강릉시","송정주유소","강원 강릉시 경강로 2395 (송정동)","2021년 08월","S-OIL","셀프","0.00","1619.45","1419.45","0.00"
"A0011468","강원 강릉시","쌍둥이주유소","강원 강릉시 범일로 596 (내곡동)","2021년 08월","현대오일뱅크","셀프","0.00","1613.00","1413.00","0.00"
"A0011382","강원 강릉시","안목주유소","강원 강릉시 경강로 2578 (견소동)","2021년 08월","SK에너지","일반","0.00","1695.00","1495.00","900.00"
"A0011448","강원 강릉시","연곡주유소","강원 강릉시 연곡면 진고개로 2720","2021년 08월","S-OIL","일반","0.00","1699.35","1485.48","950.00"
"A0011612","강원 강릉시","영진주유소","강원 강릉시 연곡면 동해대로 4276","2021년 08월","SK에너지","셀프","0.00","1630.00","1430.97","0.00"
"A0011608","강원 강릉시","옥계(속초)주유소/충전소","강원 강릉시 옥계면 동해고속도로 322","2021년 08월","알뜰(ex)","셀프","0.00","1611.00","1400.26","0.00"
"A0011563","강원 강릉시","옥계그린주유소","강원 강릉시 옥계면 동해대로 321","2021년 08월","현대오일뱅크","일반","0.00","1665.00","1452.42","930.00"
"A0011546","강원 강릉시","옥계농협주유소","강원 강릉시 옥계면 현내시장길 14","2021년 08월","NH-OIL","일반","0.00","1650.00","1455.00","920.00"
"A0011510","강원 강릉시","왕산주유소","강원 강릉시 왕산면 백두대간로 1986","2021년 08월","GS칼텍스","일반","0.00","1678.71","1464.03","879.03"
"A0011402","강원 강릉시","우리주유소","강원 강릉시 율곡로 2573 (유산동)","2021년 08월","GS칼텍스","일반","1871.61","1624.29","1430.97","0.00"
"A0011507","강원 강릉시","웅지에너지(주)","강원 강릉시 구정면 범일로 23","2021년 08월","SK에너지","셀프","0.00","1680.00","1480.00","950.00"
"A0011475","강원 강릉시","원대로주유소","강원 강릉시 원대로 38 (교동)","2021년 08월","S-OIL","일반","0.00","1717.35","1514.35","950.00"
"A0011375","강원 강릉시","월드컵주유소","강원 강릉시 강릉대로 308 (포남동)","2021년 08월","GS칼텍스","일반","0.00","1714.35","1514.35","921.77"
"A0011462","강원 강릉시","율곡에너지(주)강동","강원 강릉시 강동면 율곡로 2202","2021년 08월","S-OIL","일반","0.00","1678.00","1478.00","950.00"
"A0011418","강원 강릉시","입암주유소","강원 강릉시 성덕포남로 97 (입암동)","2021년 08월","GS칼텍스","셀프","0.00","1615.90","1415.90","870.00"
"A0011441","강원 강릉시","정동진주유소","강원 강릉시 강동면 헌화로 1073","2021년 08월","SK에너지","일반","0.00","1698.00","1498.00","950.00"
"A0011345","강원 강릉시","제일주유소","강원 강릉시 화부산로141번안길 6-6","2021년 08월","현대오일뱅크","일반","0.00","1622.10","1424.03","0.00"
"A0011500","강원 강릉시","주문진동해주유소","강원 강릉시 주문진읍 동해대로 4623","2021년 08월","SK에너지","일반","0.00","1677.06","1466.58","900.00"
"A0010977","강원 강릉시","주문진향호주유소","강원 강릉시 주문진읍 동해대로 4785","2021년 08월","S-OIL","셀프","0.00","1635.00","1435.00","0.00"
"A0011405","강원 강릉시","죽헌동주유소","강원 강릉시 동해대로 3373","2021년 08월","GS칼텍스","셀프","0.00","1630.58","1434.13","920.00"
"A0011446","강원 강릉시","직영주유소","강원 강릉시 연곡면 동해대로 4094","2021년 08월","현대오일뱅크","일반","1888.03","1668.03","1468.03","900.00"
"A0004194","강원 강릉시","청유주유소","강원 강릉시 경강로 2228 (포남동)","2021년 08월","현대오일뱅크","셀프","0.00","1640.81","1440.81","0.00"
"A0011432","강원 강릉시","포남주유소","강원 강릉시 강릉대로 489 (포남동)","2021년 08월","GS칼텍스","일반","0.00","1703.06","1505.48","925.00"
"A0011397","강원 강릉시","하슬라주유소","강원 강릉시 강동면 동해대로 1891","2021년 08월","GS칼텍스","일반","0.00","1678.97","1492.52","890.00"
"A0011364","강원 강릉시","해변주유소","강원 강릉시 주문진읍 주문북로 106","2021년 08월","현대오일뱅크","일반","0.00","1643.77","1448.13","904.84"
"A0011473","강원 강릉시","해오름주유소","강원 강릉시 성덕로 81 (병산동)","2021년 08월","GS칼텍스","일반","0.00","1695.00","1509.52","928.71"
"A0011431","강원 강릉시","행운가득초당주유소","강원 강릉시 해안로 321 (강문동)","2021년 08월","현대오일뱅크","일반","1937.06","1733.16","1521.87","900.00"
"A0011480","강원 강릉시","행정주유소","강원 강릉시 연곡면 진고개로 2283-3","2021년 08월","S-OIL","일반","0.00","1670.00","1470.00","925.00"
"A0011490","강원 강릉시","현대오일뱅크(주)직영 강릉IC주유소","강원 강릉시 경강로 1935 (홍제동)","2021년 08월","현대오일뱅크","일반","1859.81","1642.16","1442.81","0.00"
"A0011562","강원 강릉시","현대오일뱅크㈜직영 강릉현대주유소","강원 강릉시 율곡로 2636 (청량동)","2021년 08월","현대오일뱅크","일반","0.00","1642.81","1442.81","893.23"
"A0011566","강원 강릉시","현대오일뱅크㈜직영 샘터주유소","강원 강릉시 연곡면 동해대로 4357","2021년 08월","현대오일뱅크","일반","1871.87","1663.52","1460.55","870.00"
"A0011471","강원 강릉시","호진상사 안국주유소","강원 강릉시 가작로 227","2021년 08월","SK에너지","일반","0.00","1745.00","1545.00","980.00"
"A0010644","강원 강릉시","홍길동주유소","강원 강릉시 강릉대로 161 (교동)","2021년 08월","SK에너지","셀프","1855.67","1617.60","1417.60","874.67"
"A0011377","강원 강릉시","홍제주유소","강원 강릉시 경강로 1850 (홍제동)","2021년 08월","GS칼텍스","일반","1938.00","1768.00","1568.00","887.10"
"A0011426","강원 강릉시","화부산주유소","강원 강릉시 명륜로 45","2021년 08월","S-OIL","셀프","0.00","1610.00","1420.00","885.00"
"A0011396","강원 강릉시","회산주유소","강원 강릉시 관솔길 27 (회산동)","2021년 08월","S-OIL","셀프","0.00","1600.42","1391.19","874.52"
"A0000467","강원 고성군","간성주유소","강원 고성군 간성읍 탑동길 4-15","2021년 08월","SK에너지","셀프","0.00","1666.48","1466.48","0.00"
"A0011721","강원 고성군","갑호주유소","강원 고성군 현내면 금강산로 49","2021년 08월","현대오일뱅크","일반","0.00","1690.00","1490.00","900.00"
"A0011622","강원 고성군","거진OK주유소","강원 고성군 거진읍 거탄진로 0","2021년 08월","GS칼텍스","일반","0.00","1714.19","1515.48","900.00"
"A0011761","강원 고성군","거진농협주유소","강원 고성군 거진읍 거탄진로 44","2021년 08월","NH-OIL","일반","0.00","1676.61","1476.61","905.00"
"A0011632","강원 고성군","공현진주유소","강원 고성군 죽왕면 동해대로 6176","2021년 08월","S-OIL","일반","0.00","0.00","1469.00","0.00"
"A0011757","강원 고성군","금강농협주유소","강원 고성군 간성읍 간성로 32","2021년 08월","NH-OIL","일반","0.00","1670.00","1470.00","900.00"
"A0001235","강원 고성군","김진주유소","강원도 고성군 토성면 청간정길 6-2","2021년 08월","S-OIL","일반","0.00","1667.26","1469.39","904.19"
"A0011724","강원 고성군","동해안주유소","강원 고성군 거진읍 진부령로 2875","2021년 08월","현대오일뱅크","일반","0.00","1750.00","1530.00","950.00"
"A0011796","강원 고성군","미시령관통도로주유소","강원 고성군 토성면 미시령로 2635","2021년 08월","S-OIL","셀프","1814.00","1614.00","1414.00","0.00"
"A0011745","강원 고성군","설악에너지주식회사","강원 고성군 거진읍 거탄진로 84","2021년 08월","SK에너지","셀프","0.00","1666.48","1466.48","900.00"
"A0011773","강원 고성군","스타트주유소","강원 고성군 토성면 미시령로 2699","2021년 08월","현대오일뱅크","일반","0.00","1656.68","1453.68","0.00"
"A0011658","강원 고성군","시온주유소","강원 고성군 토성면 동해대로 5439","2021년 08월","현대오일뱅크","일반","0.00","1666.42","1466.42","898.39"
"A0011643","강원 고성군","아야진동산주유소","강원 고성군 토성면 동해대로 5210","2021년 08월","GS칼텍스","일반","1879.03","1666.71","1466.71","0.00"
"A0011702","강원 고성군","용촌주유소(주)","강원 고성군 토성면 중앙로 511","2021년 08월","SK에너지","셀프","0.00","1664.03","1468.03","893.64"
"A0011633","강원 고성군","유경주유소","강원 고성군 토성면 동해대로 4567","2021년 08월","현대오일뱅크","셀프","0.00","1666.71","1466.42","900.00"
"A0011768","강원 고성군","토성농협주유소","강원 고성군 토성면 동해대로 5199","2021년 08월","NH-OIL","셀프","0.00","1666.71","1466.71","897.10"
"A0011683","강원 고성군","통일전망대주유소","강원 고성군 현내면 금강산로 474","2021년 08월","GS칼텍스","일반","0.00","1681.29","1481.29","900.00"
"A0011715","강원 고성군","황금궁전주유소","강원 고성군 간성읍 진부령로 1818","2021년 08월","알뜰주유소","일반","0.00","1653.52","1453.52","900.00"
"A0010599","강원 동해시","(주)대신에너지주유소","강원 동해시 동해대로 4912 (나안동)","2021년 08월","SK에너지","셀프","0.00","1649.00","1449.00","0.00"
"A0010620","강원 동해시","(주)동산 효자로주유소","강원 동해시 효자로 723 (효가동)","2021년 08월","S-OIL","일반","0.00","1650.00","1450.00","0.00"
"A0010626","강원 동해시","(주)명진에너지 동해지점","강원 동해시 동해대로 5361 (천곡동)","2021년 08월","SK에너지","셀프","1880.00","1611.94","1411.94","0.00"
"A0016484","강원 동해시","CJ대한통운㈜ 동해주유소","강원 동해시 강원남부로 4591 (단봉동)","2021년 08월","현대오일뱅크","일반","0.00","1624.52","1424.52","0.00"
"A0010689","강원 동해시","SK에너지(주) 시민주유소","강원 동해시 동해대로 5133 (효가동)","2021년 08월","SK에너지","일반","0.00","1620.00","1429.03","0.00"
"A0010633","강원 동해시","SK해안로주유소","강원 동해시 해안로 63 (용정동)","2021년 08월","SK에너지","셀프","0.00","1618.39","1417.90","885.48"
"A0010635","강원 동해시","고객사랑주유소","강원 동해시 동해대로 6121","2021년 08월","SK에너지","셀프","0.00","1622.42","1422.42","0.00"
"A0010583","강원 동해시","공단주유소","강원 동해시 공단1로 7-13 (구호동)","2021년 08월","GS칼텍스","일반","0.00","1616.77","1420.00","900.00"
"A0010549","강원 동해시","관동주유소","강원 동해시 강원남부로 4650 (단봉동)","2021년 08월","S-OIL","셀프","0.00","1622.26","1422.26","1100.00"
"A0010621","강원 동해시","기업주유소","강원 동해시 동해대로 4683","2021년 08월","SK에너지","일반","0.00","1622.26","1422.26","1006.45"
"A0010634","강원 동해시","뉴시티동해항주유소","강원 동해시 대동로 263 (송정동)","2021년 08월","S-OIL","셀프","0.00","1615.68","1415.68","850.00"
"A0010622","강원 동해시","늘푸른초록봉주유소","강원도 동해시  동해대로 5480 (평릉동)","2021년 08월","S-OIL","일반","0.00","1628.39","1420.00","900.00"
"A0011736","강원 동해시","대경주유소","강원 동해시 동해대로 5161 (효가동)","2021년 08월","현대오일뱅크","셀프","0.00","1632.19","1419.52","0.00"
"A0010669","강원 동해시","대영주유소","강원 동해시 동해대로 6036 (초구동)","2021년 08월","S-OIL","셀프","0.00","1616.61","1413.87","870.00"
"A0010589","강원 동해시","동북주유소","강원 동해시 동해대로 5050 (효가동)","2021년 08월","S-OIL","일반","0.00","1637.71","1429.00","0.00"
"A0032992","강원 동해시","동해농협클린주유소","강원 동해시 대동로 249 (송정동)","2021년 08월","NH-OIL","셀프","0.00","1620.00","1420.00","850.00"
"A0010702","강원 동해시","동해삼거리주유소","강원 동해시 동해대로 4772 (단봉동)","2021년 08월","S-OIL","셀프","0.00","1618.10","1418.74","870.00"
"A0010667","강원 동해시","동해현대주유소","강원 동해시 동해대로 4985","2021년 08월","현대오일뱅크","일반","0.00","1636.84","1429.00","850.00"
"A0010636","강원 동해시","망상IC주유소","강원 동해시 동해대로 6124 (망상동)","2021년 08월","SK에너지","일반","0.00","1621.03","1421.03","875.00"
"A0010677","강원 동해시","묵호농협주유소","강원 동해시 발한로 39 (부곡동)","2021년 08월","NH-OIL","셀프","0.00","1618.39","1418.39","900.00"
"A0010567","강원 동해시","묵호주유소","강원도 동해시 해안로 595 (발한동)","2021년 08월","S-OIL","셀프","0.00","1624.42","1420.81","900.00"
"A0010686","강원 동해시","백마주유소","강원 동해시 대동로 261-28 (송정동)","2021년 08월","현대오일뱅크","일반","0.00","1685.00","1485.00","0.00"
"A0010566","강원 동해시","북삼주유소","강원 동해시 효자로 636","2021년 08월","알뜰주유소","셀프","0.00","1618.65","1409.00","0.00"
"A0010653","강원 동해시","성일기업(주)성일주유소","강원 동해시 동해대로 5155 (효가동)","2021년 08월","S-OIL","일반","0.00","1641.94","1420.00","1000.00"
"A0010535","강원 동해시","세경주유소","강원 동해시 발한로 369 (발한동)","2021년 08월","현대오일뱅크","일반","0.00","1625.26","1419.45","900.00"
"A0033081","강원 동해시","세경해운주유소","강원 동해시 용정로 55 (용정동)","2021년 08월","SK에너지","셀프","0.00","1619.03","1419.03","908.06"
"A0010643","강원 동해시","쇄운주유소","강원 동해시 효자로 400 (쇄운동)","2021년 08월","SK에너지","일반","0.00","1634.03","1425.00","950.00"
"A0010537","강원 동해시","에덴주유소","강원 동해시 효자로 576 (쇄운동)","2021년 08월","S-OIL","일반","0.00","1622.29","1418.00","900.00"
"A0010613","강원 동해시","용정에너지","강원 동해시 용정로 169 (용정동)","2021년 08월","S-OIL","일반","0.00","1640.00","1440.00","933.33"
"A0011252","강원 동해시","지에스칼텍스(주)동해사랑주유소","강원 동해시 동해대로 5090","2021년 08월","GS칼텍스","셀프","0.00","1623.10","1423.10","900.00"
"A0010673","강원 동해시","천곡주유소","강원 동해시 해안로 197 (천곡동)","2021년 08월","GS칼텍스","일반","0.00","1671.29","1467.74","896.77"
"A0010679","강원 동해시","한국도로공사 동해주유소","강원 동해시 동해대로 6427 (망상동)","2021년 08월","알뜰(ex)","셀프","0.00","1607.97","1400.39","0.00"
"A0010692","강원 동해시","해성주유소","강원 동해시 효자로 277 (이로동)","2021년 08월","S-OIL","일반","0.00","1632.74","1425.00","950.00"
"A0010632","강원 동해시","해오름주유소","강원 동해시 발한로 384 (발한동)","2021년 08월","S-OIL","일반","0.00","1624.58","1420.81","0.00"
"A0010639","강원 삼척시","(주)금메달주유소","강원도 삼척시 근덕면 삼척로 2771","2021년 08월","S-OIL","일반","0.00","1680.00","1480.00","0.00"
"A0010666","강원 삼척시","(주)삼척현대주유소","강원 삼척시 동해대로 4011 (정상동)","2021년 08월","현대오일뱅크","일반","0.00","1620.00","1420.00","870.00"
"A0010577","강원 삼척시","SK 삼척주유소","강원 삼척시 동해대로 4323 (마달동)","2021년 08월","SK에너지","일반","0.00","1698.35","1498.35","988.55"
"A0010655","강원 삼척시","교가주유소","강원 삼척시 근덕면 삼척로 3559","2021년 08월","SK에너지","일반","0.00","1675.16","1475.16","941.94"
"A0010544","강원 삼척시","남양주유소","강원 삼척시 오십천로 457 (남양동)","2021년 08월","SK에너지","셀프","0.00","1670.68","1470.68","945.00"
"A0010701","강원 삼척시","넘버원주유소","강원 삼척시 원덕읍 삼척로 634","2021년 08월","현대오일뱅크","일반","0.00","1680.00","1467.74","930.00"
"A0010629","강원 삼척시","노곡주유소","강원 삼척시 원덕읍 삼척로 865","2021년 08월","현대오일뱅크","일반","0.00","1679.35","1469.35","950.00"
"A0010690","강원 삼척시","대성MDI(주)삼척주유소","강원 삼척시 신기면 강원남부로 2620","2021년 08월","GS칼텍스","일반","0.00","1640.00","1450.00","870.00"
"A0010571","강원 삼척시","대성주유소(주)","강원 삼척시 미로면 강원남부로 3967","2021년 08월","SK에너지","일반","0.00","1648.71","1448.71","900.00"
"A0010533","강원 삼척시","대진주유소","강원 삼척시 근덕면 삼척로 3071","2021년 08월","현대오일뱅크","일반","0.00","1647.10","1447.10","912.26"
"A0033029","강원 삼척시","도계농협클린주유소","강원 삼척시 도계읍 강원남부로 1818","2021년 08월","NH-OIL","셀프","0.00","1630.00","1430.00","890.00"
"A0010594","강원 삼척시","도계주유소","강원 삼척시 도계읍 강원남부로 1560","2021년 08월","SK에너지","일반","0.00","1650.00","1450.00","900.00"
"A0010543","강원 삼척시","등봉주유소","강원 삼척시 오십천로 101 (등봉동)","2021년 08월","SK에너지","셀프","0.00","1668.39","1468.39","0.00"
"A0010638","강원 삼척시","명성주유소","강원 삼척시 근덕면 삼척로 3393","2021년 08월","GS칼텍스","일반","0.00","1680.00","1480.00","950.00"
"A0010662","강원 삼척시","미로주유소","강원 삼척시 미로면 강원남부로 3593","2021년 08월","S-OIL","일반","0.00","0.00","1500.00","0.00"
"A0010603","강원 삼척시","산림조합주유소","강원 삼척시 근덕면 삼척로 3840","2021년 08월","SK에너지","일반","0.00","1664.19","1464.19","940.91"
"A0010678","강원 삼척시","삼척농협주유소/충전소","강원 삼척시 동해대로 4298 (갈천동)","2021년 08월","NH-OIL","일반","0.00","1619.52","1419.52","870.00"
"A0033348","강원 삼척시","삼척농협하장지점주유소","강원 삼척시 하장면 백두대간로 2689","2021년 08월","NH-OIL","일반","0.00","1619.52","1419.52","870.00"
"A0010615","강원 삼척시","삼척주유할인마트","강원 삼척시 노곡면 문의재로 2546","2021년 08월","SK에너지","일반","0.00","1621.61","1425.81","860.00"
"A0011421","강원 삼척시","시청앞주유소","강원 삼척시 교동로 40 (당저동)","2021년 08월","GS칼텍스","일반","1899.03","1669.03","1469.03","900.00"
"A0010658","강원 삼척시","알파에쓰오일 삼척주유소(주)","강원 삼척시 동해대로 4190","2021년 08월","S-OIL","셀프","0.00","1618.52","1418.52","870.00"
"A0010628","강원 삼척시","용천주유소","강원 삼척시 신기면 강원남부로 3038","2021년 08월","GS칼텍스","일반","0.00","1667.74","1467.74","900.00"
"A0010625","강원 삼척시","우성주유소","강원 삼척시 동해대로 4088 (정상동)","2021년 08월","SK에너지","일반","0.00","1658.71","1458.71","0.00"
"A0010649","강원 삼척시","우창주유소","강원 삼척시 도계읍 강원남부로 1696","2021년 08월","SK에너지","셀프","0.00","1650.00","1450.00","900.00"
"A0010671","강원 삼척시","원더풀주유소/충전소","강원 삼척시 동해대로 3852 (오분동)","2021년 08월","GS칼텍스","셀프","1890.00","1660.00","1460.00","950.00"
"A0010676","강원 삼척시","원덕농협주유소","강원 삼척시 원덕읍 가곡천로 3021","2021년 08월","NH-OIL","일반","0.00","1650.00","1450.00","900.00"
"A0010672","강원 삼척시","원덕주유소","강원 삼척시 원덕읍 삼척로 437-9","2021년 08월","S-OIL","일반","0.00","1680.00","1470.00","900.00"
"A0010700","강원 삼척시","임원셀프주유소","강원 삼척시 원덕읍 삼척로 1203","2021년 08월","현대오일뱅크","셀프","0.00","1660.00","1450.00","900.00"
"A0010627","강원 삼척시","장호주유소","강원 삼척시 근덕면 삼척로 2158","2021년 08월","SK에너지","일반","0.00","1690.00","1490.00","984.84"
"A0010650","강원 삼척시","중앙주유소","강원 삼척시 도계읍 강원남부로 1332","2021년 08월","SK에너지","일반","0.00","1650.00","1450.00","900.00"
"A0010542","강원 삼척시","하장주유소","강원 삼척시 하장면 백두대간로 2564","2021년 08월","S-OIL","일반","0.00","1640.00","1441.94","890.00"
"A0010624","강원 삼척시","호산삼거리주유소","강원 삼척시 원덕읍 삼척로 324","2021년 08월","S-OIL","셀프","0.00","1695.00","1495.00","950.00"
"A0011797","강원 속초시","(주)시원 유진주유소","강원 속초시 동해대로 4168 (조양동)","2021년 08월","SK에너지","셀프","0.00","1624.00","1416.68","880.00"
"A0011777","강원 속초시","SK속초주유소","강원 속초시 동해대로 3834 (대포동)","2021년 08월","SK에너지","일반","0.00","1686.23","1486.23","0.00"
"A0011718","강원 속초시","구도일주유소","강원 속초시 동해대로 4122 (조양동)","2021년 08월","S-OIL","셀프","0.00","1624.00","1419.81","870.00"
"A0011618","강원 속초시","구도일주유소뉴설악","강원 속초시 설악산로 35 (도문동)","2021년 08월","S-OIL","일반","0.00","1654.81","1444.81","890.00"
"A0011728","강원 속초시","대청봉주유소","강원 속초시 설악산로 441 (도문동)","2021년 08월","SK에너지","일반","0.00","1689.35","1489.03","1000.00"
